short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,1545238,1,5029198,1545238,False,chromosome
2,990416,1,5029198,990410,False,chromosome
3,513527,1,5029198,513527,False,chromosome
4,360795,1,5029198,360795,False,chromosome
5,307400,1,5029198,307400,False,chromosome
6,235491,1,5029198,235491,False,chromosome
7,215442,1,5029198,215442,False,chromosome
8,182639,1,5029198,182639,False,chromosome
9,159372,1,5029198,159372,False,chromosome
10,143421,1,5029198,143421,False,chromosome
11,99420,1,5029198,99420,False,chromosome
12,95806,1,5029198,95806,False,chromosome
13,86450,1,5029198,86450,False,chromosome
14,85267,3,217178,85267,True,plasmid
15,85107,4,85107,85107,False,no_label
16,79536,2,242087,79536,True,plasmid
17,67819,2,242087,67819,True,plasmid
18,65512,2,242087,40991,True,plasmid
19,37889,3,217178,37889,True,plasmid
20,34443,1,5029198,34443,False,chromosome
21,34032,5,34032,34032,False,no_label
22,29349,3,217178,23442,True,plasmid
23,27479,3,217178,27479,True,plasmid
24,13752,2,242087,13752,True,plasmid
25,12957,3,217178,12957,True,plasmid
26,8273,2,242087,8273,True,plasmid
27,5181,3,217178,5181,True,plasmid
28,4628,1,5029198,4628,False,chromosome
29,3787,3,217178,3787,True,plasmid
30,2252,1,5029198,2252,False,chromosome
31,2143,3,217178,2143,True,plasmid
32,1374,3,217178,1368,True,plasmid
33,1060,1,5029198,1060,False,chromosome
34,1004,2,242087,1004,True,plasmid
35,739,1,5029198,739,False,chromosome
36,667,3,217178,667,True,plasmid
37,662,1,5029198,662,False,chromosome
38,648,1,5029198,648,False,chromosome
39,639,1,5029198,499,False,chromosome
40,591,3,217178,591,True,plasmid
41,531,2,242087,531,True,plasmid
42,502,3,217178,502,True,plasmid
43,497,1,5029198,497,False,chromosome
44,458,1,5029198,458,False,chromosome
45,457,1,5029198,457,False,chromosome
46,426,1,5029198,426,False,chromosome
47,421,6,421,421,False,no_label
48,371,1,5029198,371,False,chromosome
49,330,3,217178,330,True,plasmid
50,324,3,217178,324,True,plasmid
51,321,1,5029198,321,False,chromosome
52,317,3,217178,317,True,plasmid
53,303,2,242087,303,True,plasmid
54,294,1,5029198,294,False,chromosome
55,283,1,5029198,283,False,chromosome
56,263,2,242087,263,True,plasmid
57,256,1,5029198,256,False,chromosome
58,255,1,5029198,255,False,chromosome
59,236,1,5029198,236,False,chromosome
60,233,1,5029198,233,False,chromosome
61,231,3,217178,231,True,plasmid
62,231,3,217178,230,True,plasmid
63,228,3,217178,228,True,plasmid
64,221,1,5029198,221,False,chromosome
65,219,NA,NA,219,NA,ambiguous
66,217,3,217178,217,True,plasmid
67,204,2,242087,204,True,plasmid
68,204,2,242087,204,True,plasmid
69,204,2,242087,204,True,plasmid
70,204,7,204,204,False,no_label
71,202,3,217178,202,True,plasmid
72,201,NA,NA,201,NA,ambiguous
73,201,3,217178,201,True,plasmid
74,197,2,242087,197,True,plasmid
75,188,1,5029198,188,False,chromosome
76,188,3,217178,188,True,plasmid
77,184,2,242087,184,True,plasmid
78,181,1,5029198,181,False,chromosome
79,179,8,179,179,False,no_label
80,176,1,5029198,176,False,chromosome
81,173,3,217178,173,True,plasmid
82,167,1,5029198,167,False,chromosome
83,165,1,5029198,165,False,chromosome
84,161,1,5029198,161,False,chromosome
85,161,1,5029198,161,False,chromosome
86,152,2,242087,152,True,plasmid
87,144,1,5029198,144,False,chromosome
88,144,1,5029198,144,False,chromosome
89,143,1,5029198,143,False,chromosome
90,140,2,242087,140,True,plasmid
91,137,NA,NA,137,NA,ambiguous
92,137,1,5029198,137,False,chromosome
93,134,10,134,134,False,no_label
94,134,1,5029198,134,False,chromosome
95,133,1,5029198,133,False,chromosome
96,132,1,5029198,132,False,chromosome
97,131,NA,NA,131,NA,ambiguous
98,130,11,130,130,False,no_label
99,129,1,5029198,129,False,chromosome
100,126,NA,NA,126,NA,ambiguous
101,120,3,217178,120,True,plasmid
102,119,1,5029198,119,False,chromosome
103,111,2,242087,111,True,plasmid
104,110,1,5029198,110,False,chromosome
105,110,1,5029198,110,False,chromosome
106,108,NA,NA,108,NA,ambiguous
