short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,214284,1,4798965,214284,True,chromosome
2,183624,1,4798965,183624,True,chromosome
3,142326,1,4798965,142326,True,chromosome
4,127128,1,4798965,127128,True,chromosome
5,109022,3,110891,56659,True,plasmid
6,94938,1,4798965,94938,True,chromosome
7,92124,1,4798965,92124,True,chromosome
8,90033,1,4798965,90033,True,chromosome
9,89597,1,4798965,89597,True,chromosome
10,83800,1,4798965,83800,True,chromosome
11,83124,1,4798965,83124,True,chromosome
12,82886,1,4798965,82886,True,chromosome
13,79910,2,199441,79910,True,plasmid
14,73659,1,4798965,73659,True,chromosome
15,71869,1,4798965,71869,True,chromosome
16,69011,1,4798965,69011,True,chromosome
17,68177,1,4798965,68177,True,chromosome
18,68011,1,4798965,68011,True,chromosome
19,64305,1,4798965,64305,True,chromosome
20,64217,1,4798965,64217,True,chromosome
21,63844,1,4798965,63844,True,chromosome
22,62147,1,4798965,62147,True,chromosome
23,58532,1,4798965,58532,True,chromosome
24,57346,1,4798965,57346,True,chromosome
25,55520,1,4798965,55520,True,chromosome
26,55495,1,4798965,55495,True,chromosome
27,55403,1,4798965,55403,True,chromosome
28,54248,1,4798965,54248,True,chromosome
29,51836,1,4798965,51836,True,chromosome
30,51340,1,4798965,51340,True,chromosome
31,50570,1,4798965,50570,True,chromosome
32,49155,1,4798965,49155,True,chromosome
33,49077,1,4798965,49077,True,chromosome
34,48722,1,4798965,48722,True,chromosome
35,47688,1,4798965,47688,True,chromosome
36,47002,1,4798965,47002,True,chromosome
37,46914,1,4798965,46914,True,chromosome
38,46642,1,4798965,46642,True,chromosome
39,46563,1,4798965,46563,True,chromosome
40,46502,1,4798965,46502,True,chromosome
41,45142,1,4798965,45142,True,chromosome
42,44869,4,88719,43746,True,plasmid
43,42390,1,4798965,42390,True,chromosome
44,40618,1,4798965,40618,True,chromosome
45,40165,1,4798965,40165,True,chromosome
46,38914,1,4798965,38914,True,chromosome
47,38124,1,4798965,38124,True,chromosome
48,37552,1,4798965,37552,True,chromosome
49,36837,1,4798965,36837,True,chromosome
50,36291,1,4798965,36291,True,chromosome
51,36061,1,4798965,36061,True,chromosome
52,34499,1,4798965,34499,True,chromosome
53,33551,1,4798965,33551,True,chromosome
54,33438,1,4798965,33438,True,chromosome
55,33429,1,4798965,33429,True,chromosome
56,32006,1,4798965,32006,True,chromosome
57,30897,1,4798965,30897,True,chromosome
58,30755,1,4798965,30755,True,chromosome
59,30116,1,4798965,17050,True,chromosome
60,29602,1,4798965,29602,True,chromosome
61,29168,1,4798965,29168,True,chromosome
62,29007,1,4798965,29007,True,chromosome
63,28083,1,4798965,28083,True,chromosome
64,28028,1,4798965,28028,True,chromosome
65,26575,1,4798965,26575,True,chromosome
66,26041,1,4798965,26041,True,chromosome
67,25873,1,4798965,25873,True,chromosome
68,25530,1,4798965,25530,True,chromosome
69,25271,1,4798965,25271,True,chromosome
70,24105,1,4798965,24105,True,chromosome
71,23184,1,4798965,23184,True,chromosome
72,23063,1,4798965,23063,True,chromosome
73,22509,1,4798965,22509,True,chromosome
74,22209,1,4798965,22209,True,chromosome
75,20919,5,83679,20919,True,plasmid
76,20642,1,4798965,20642,True,chromosome
77,20510,1,4798965,20510,True,chromosome
78,20121,1,4798965,20121,True,chromosome
79,19277,5,83679,15247,True,plasmid
80,19132,1,4798965,19132,True,chromosome
81,18789,1,4798965,18789,True,chromosome
82,18234,5,83679,18234,True,plasmid
83,17586,1,4798965,17586,True,chromosome
84,17418,1,4798965,17418,True,chromosome
85,17387,1,4798965,17387,True,chromosome
86,17050,1,4798965,17050,True,chromosome
87,16743,1,4798965,16743,True,chromosome
88,16296,1,4798965,16296,True,chromosome
89,15715,1,4798965,15715,True,chromosome
90,15642,1,4798965,15642,True,chromosome
91,14678,1,4798965,14678,True,chromosome
92,14351,1,4798965,14351,True,chromosome
93,13942,1,4798965,13942,True,chromosome
94,13856,2,199441,13856,True,plasmid
95,13667,1,4798965,13667,True,chromosome
96,13608,1,4798965,13608,True,chromosome
97,13412,1,4798965,13412,True,chromosome
98,12992,1,4798965,12992,True,chromosome
99,12480,1,4798965,12480,True,chromosome
100,12436,1,4798965,12436,True,chromosome
101,11657,1,4798965,11657,True,chromosome
102,11480,1,4798965,11480,True,chromosome
103,11348,1,4798965,11348,True,chromosome
104,10421,1,4798965,10421,True,chromosome
105,10292,1,4798965,10292,True,chromosome
106,10022,1,4798965,10022,True,chromosome
107,10013,1,4798965,10013,True,chromosome
108,9984,1,4798965,9984,True,chromosome
109,9875,4,88719,9875,True,plasmid
110,9667,1,4798965,9667,True,chromosome
111,9614,2,199441,9614,True,plasmid
112,9340,1,4798965,9340,True,chromosome
113,8975,1,4798965,8975,True,chromosome
114,8881,1,4798965,8881,True,chromosome
115,8571,1,4798965,8571,True,chromosome
116,8541,1,4798965,8541,True,chromosome
117,8535,2,199441,7536,True,plasmid
118,8394,2,199441,8394,True,plasmid
119,7970,1,4798965,7970,True,chromosome
120,7901,1,4798965,7901,True,chromosome
121,7564,1,4798965,7564,True,chromosome
122,7370,2,199441,7370,True,plasmid
123,7329,1,4798965,7329,True,chromosome
124,7161,1,4798965,7161,True,chromosome
125,7058,1,4798965,7058,True,chromosome
126,6864,1,4798965,6864,True,chromosome
127,6863,1,4798965,6863,True,chromosome
128,6647,6,6647,6647,True,plasmid
129,6617,2,199441,6617,True,plasmid
130,6387,1,4798965,6387,True,chromosome
131,6067,7,4839,3126,True,plasmid
132,6002,1,4798965,6002,True,chromosome
133,5736,4,88719,5736,True,plasmid
134,5715,1,4798965,5715,True,chromosome
135,5682,1,4798965,5682,True,chromosome
136,5674,1,4798965,5674,True,chromosome
137,5439,1,4798965,5439,True,chromosome
138,5321,2,199441,5321,True,plasmid
139,5228,1,4798965,5228,True,chromosome
140,5056,1,4798965,5056,True,chromosome
141,4982,5,83679,4982,True,plasmid
142,4852,1,4798965,4852,True,chromosome
143,4835,1,4798965,4835,True,chromosome
144,4792,4,88719,4792,True,plasmid
145,4724,1,4798965,4724,True,chromosome
146,4299,1,4798965,4299,True,chromosome
147,4295,1,4798965,4295,True,chromosome
148,4205,1,4798965,4205,True,chromosome
149,4175,2,199441,4175,True,plasmid
150,3979,1,4798965,3979,True,chromosome
151,3886,1,4798965,3886,True,chromosome
152,3885,1,4798965,3885,True,chromosome
153,3824,1,4798965,3824,True,chromosome
154,3572,1,4798965,3572,True,chromosome
155,3541,2,199441,3541,True,plasmid
156,3190,1,4798965,3190,True,chromosome
157,3155,1,4798965,3155,True,chromosome
158,3106,1,4798965,3106,True,chromosome
159,3016,1,4798965,3016,True,chromosome
160,2934,1,4798965,2934,True,chromosome
161,2835,1,4798965,2835,True,chromosome
162,2737,1,4798965,2737,True,chromosome
163,2655,1,4798965,2655,True,chromosome
164,2615,5,83679,2615,True,plasmid
