short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,593912,1,6050790,593912,True,chromosome
2,428708,1,6050790,428708,True,chromosome
3,409917,1,6050790,409917,True,chromosome
4,385334,1,6050790,385334,True,chromosome
5,353617,1,6050790,295251,True,chromosome
6,350517,1,6050790,350517,True,chromosome
7,300258,1,6050790,300258,True,chromosome
8,274798,1,6050790,274798,True,chromosome
9,246393,1,6050790,246393,True,chromosome
10,242599,1,6050790,242599,True,chromosome
11,230325,1,6050790,230325,True,chromosome
12,196922,1,6050790,196922,True,chromosome
13,191105,1,6050790,191105,True,chromosome
14,182943,1,6050790,182943,True,chromosome
15,156090,1,6050790,156090,True,chromosome
16,148831,1,6050790,148831,True,chromosome
17,143800,1,6050790,143800,True,chromosome
18,126368,1,6050790,126368,True,chromosome
19,117487,1,6050790,117487,True,chromosome
20,106193,2,271498,85619,True,plasmid
21,102606,1,6050790,102606,True,chromosome
22,94849,1,6050790,94849,True,chromosome
23,82229,1,6050790,82229,True,chromosome
24,69070,1,6050790,69070,True,chromosome
25,62702,1,6050790,62702,True,chromosome
26,61324,1,6050790,61324,True,chromosome
27,56585,1,6050790,56585,True,chromosome
28,53327,1,6050790,53324,True,chromosome
29,51471,2,271498,51471,True,plasmid
30,46163,1,6050790,46163,True,chromosome
31,42010,1,6050790,42010,True,chromosome
32,41897,1,6050790,41897,True,chromosome
33,41718,1,6050790,41718,True,chromosome
34,40295,2,271498,40295,True,plasmid
35,39543,1,6050790,39543,True,chromosome
36,34343,1,6050790,34343,True,chromosome
37,23151,2,271498,23151,True,plasmid
38,17306,1,6050790,17306,True,chromosome
39,16459,1,6050790,16459,True,chromosome
40,12232,1,6050790,12232,True,chromosome
41,8944,1,6050790,8944,True,chromosome
42,5903,2,271498,5903,True,plasmid
43,5014,2,271498,5014,True,plasmid
44,4508,3,6790,4508,True,plasmid
45,4246,2,271498,4246,True,plasmid
46,3963,2,271498,3963,True,plasmid
47,3498,4,3498,3498,True,plasmid
48,3314,2,271498,3314,True,plasmid
49,3057,2,271498,3057,True,plasmid
50,2737,2,271498,2737,True,plasmid
51,2250,2,271498,2250,True,plasmid
