short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,142782,1,2751721,142782,True,chromosome
2,130358,1,2751721,130358,True,chromosome
3,129134,1,2751721,111201,True,chromosome
4,112950,1,2751721,112950,True,chromosome
5,108392,1,2751721,108392,True,chromosome
6,101921,1,2751721,101921,True,chromosome
7,93456,1,2751721,93456,True,chromosome
8,90829,1,2751721,90829,True,chromosome
9,78196,1,2751721,78196,True,chromosome
10,68977,1,2751721,68977,True,chromosome
11,68855,1,2751721,68855,True,chromosome
12,68782,1,2751721,68782,True,chromosome
13,68686,1,2751721,68686,True,chromosome
14,64453,1,2751721,64453,True,chromosome
15,63421,1,2751721,63421,True,chromosome
16,56351,1,2751721,56351,True,chromosome
17,53134,1,2751721,53134,True,chromosome
18,49405,1,2751721,49405,True,chromosome
19,47464,1,2751721,47464,True,chromosome
20,47361,1,2751721,47361,True,chromosome
21,43141,1,2751721,43141,True,chromosome
22,42892,1,2751721,42892,True,chromosome
23,41794,1,2751721,41794,True,chromosome
24,38714,1,2751721,38714,True,chromosome
25,38380,1,2751721,38380,True,chromosome
26,36510,3,61971,34837,True,plasmid
27,35071,1,2751721,35071,True,chromosome
28,34099,1,2751721,34099,True,chromosome
29,33152,1,2751721,33152,True,chromosome
30,29631,1,2751721,29631,True,chromosome
31,29334,1,2751721,29334,True,chromosome
32,29113,1,2751721,29113,True,chromosome
33,28604,1,2751721,28604,True,chromosome
34,27076,1,2751721,27076,True,chromosome
35,27021,1,2751721,27021,True,chromosome
36,25505,1,2751721,25505,True,chromosome
37,25303,1,2751721,25303,True,chromosome
38,24932,1,2751721,24932,True,chromosome
39,23753,1,2751721,23753,True,chromosome
40,23678,1,2751721,23678,True,chromosome
41,23343,1,2751721,23343,True,chromosome
42,22996,1,2751721,22996,True,chromosome
43,22558,1,2751721,22558,True,chromosome
44,21284,1,2751721,21284,True,chromosome
45,20667,1,2751721,20667,True,chromosome
46,20366,1,2751721,20366,True,chromosome
47,17041,1,2751721,17041,True,chromosome
48,17009,1,2751721,17009,True,chromosome
49,15861,1,2751721,15861,True,chromosome
50,15315,1,2751721,15315,True,chromosome
51,14822,2,162848,14822,True,plasmid
52,14033,1,2751721,14033,True,chromosome
53,13810,1,2751721,13810,True,chromosome
54,13734,2,162848,13734,True,plasmid
55,13151,1,2751721,13151,True,chromosome
56,13116,3,61971,13116,True,plasmid
57,12277,1,2751721,12277,True,chromosome
58,11509,1,2751721,11509,True,chromosome
59,10667,2,162848,10667,True,plasmid
60,9598,1,2751721,9598,True,chromosome
61,9515,2,162848,6261,True,plasmid
62,8970,2,162848,8970,True,plasmid
63,8652,1,2751721,8651,True,chromosome
64,7604,1,2751721,7604,True,chromosome
65,7546,1,2751721,7546,True,chromosome
66,7337,2,162848,7337,True,plasmid
67,7181,4,38929,7181,True,plasmid
68,6690,2,162848,6690,True,plasmid
69,6646,2,162848,6646,True,plasmid
70,6414,1,2751721,6414,True,chromosome
71,6138,2,162848,6138,True,plasmid
72,6066,1,2751721,6066,True,chromosome
73,5993,1,2751721,5993,True,chromosome
74,5988,1,2751721,5988,True,chromosome
75,5880,2,162848,5880,True,plasmid
76,5857,4,38929,5857,True,plasmid
77,5705,1,2751721,5705,True,chromosome
78,5481,1,2751721,5481,True,chromosome
79,5245,3,61971,5245,True,plasmid
80,5157,1,2751721,5157,True,chromosome
81,5127,1,2751721,5127,True,chromosome
82,4834,2,162848,4834,True,plasmid
83,4716,4,38929,4716,True,plasmid
84,4618,4,38929,4618,True,plasmid
85,4436,1,2751721,4436,True,chromosome
86,4422,2,162848,4422,True,plasmid
87,3818,2,162848,3818,True,plasmid
88,3723,2,162848,3723,True,plasmid
89,3289,4,38929,3289,True,plasmid
90,3083,1,2751721,3083,True,chromosome
91,2617,2,162848,2617,True,plasmid
92,2613,1,2751721,2613,True,chromosome
93,2533,2,162848,2533,True,plasmid
94,2470,2,162848,2470,True,plasmid
95,2461,4,38929,2461,True,plasmid
96,2407,1,2751721,2407,True,chromosome
97,2358,2,162848,2358,True,plasmid
98,2354,4,38929,2354,True,plasmid
99,2318,2,162848,2318,True,plasmid
100,2246,1,2751721,2246,True,chromosome
101,2205,2,162848,2205,True,plasmid
102,2159,1,2751721,2159,True,chromosome
103,1916,1,2751721,1916,True,chromosome
104,1878,1,2751721,1878,True,chromosome
105,1679,1,2751721,1679,True,chromosome
106,1514,1,2751721,1514,True,chromosome
107,1514,1,2751721,1514,True,chromosome
108,1503,1,2751721,1503,True,chromosome
109,1493,1,2751721,1493,True,chromosome
110,1466,NA,NA,1466,NA,ambiguous
111,1461,1,2751721,1461,True,chromosome
112,1366,NA,NA,1366,NA,ambiguous
113,1341,2,162848,1341,True,plasmid
114,1257,1,2751721,1257,True,chromosome
115,1248,2,162848,1248,True,plasmid
116,1236,NA,NA,1236,NA,ambiguous
117,1222,NA,NA,1222,NA,ambiguous
118,1077,1,2751721,1077,True,chromosome
119,1067,1,2751721,1067,True,chromosome
120,954,3,61971,954,True,plasmid
121,920,2,162848,920,True,plasmid
122,868,1,2751721,868,True,chromosome
123,842,1,2751721,842,True,chromosome
124,809,2,162848,809,True,plasmid
125,804,NA,NA,804,NA,ambiguous
126,803,1,2751721,803,True,chromosome
127,778,NA,NA,778,NA,ambiguous
128,778,1,2751721,778,True,chromosome
129,760,3,61971,760,True,plasmid
130,754,1,2751721,754,True,chromosome
131,738,NA,NA,738,NA,ambiguous
132,697,NA,NA,697,NA,ambiguous
133,671,1,2751721,671,True,chromosome
134,662,1,2751721,662,True,chromosome
135,611,1,2751721,611,True,chromosome
136,582,1,2751721,582,True,chromosome
137,557,2,162848,557,True,plasmid
138,555,NA,NA,555,NA,ambiguous
139,548,2,162848,548,True,plasmid
140,529,NA,NA,529,NA,ambiguous
141,518,NA,NA,518,NA,ambiguous
142,503,1,2751721,503,True,chromosome
143,493,1,2751721,493,True,chromosome
144,487,2,162848,487,True,plasmid
145,471,NA,NA,471,NA,ambiguous
146,462,1,2751721,462,True,chromosome
147,457,NA,NA,457,NA,ambiguous
148,456,NA,NA,456,NA,ambiguous
149,456,2,162848,456,True,plasmid
150,417,1,2751721,417,True,chromosome
151,398,1,2751721,398,True,chromosome
152,394,NA,NA,394,NA,ambiguous
153,393,1,2751721,393,True,chromosome
154,383,1,2751721,383,True,chromosome
155,353,1,2751721,353,True,chromosome
156,351,NA,NA,351,NA,ambiguous
157,346,1,2751721,346,True,chromosome
158,283,2,162848,283,True,plasmid
159,262,1,2751721,262,True,chromosome
160,235,1,2751721,235,True,chromosome
161,226,2,162848,226,True,plasmid
162,226,NA,NA,226,NA,ambiguous
163,218,1,2751721,218,True,chromosome
164,217,NA,NA,217,NA,ambiguous
165,211,1,2751721,211,True,chromosome
166,196,NA,NA,196,NA,ambiguous
167,194,1,2751721,194,True,chromosome
168,190,NA,NA,190,NA,ambiguous
169,188,2,162848,188,True,plasmid
170,161,1,2751721,161,True,chromosome
171,159,1,2751721,159,True,chromosome
172,154,NA,NA,154,NA,ambiguous
173,147,4,38929,147,True,plasmid
174,143,1,2751721,143,True,chromosome
175,143,1,2751721,143,True,chromosome
176,134,1,2751721,134,True,chromosome
177,132,1,2751721,132,True,chromosome
178,128,NA,NA,128,NA,ambiguous
179,125,1,2751721,125,True,chromosome
180,125,1,2751721,125,True,chromosome
181,120,1,2751721,120,True,chromosome
182,120,NA,NA,120,NA,ambiguous
183,120,NA,NA,120,NA,ambiguous
184,119,1,2751721,119,True,chromosome
185,119,1,2751721,119,True,chromosome
186,117,NA,NA,117,NA,ambiguous
187,111,4,38929,111,True,plasmid
188,105,2,162848,105,True,plasmid
189,103,2,162848,103,True,plasmid
