short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,513914,1,4956534,513914,True,chromosome
2,513185,1,4956534,513185,True,chromosome
3,309148,1,4956534,309148,True,chromosome
4,300076,1,4956534,300076,True,chromosome
5,297434,1,4956534,297434,True,chromosome
6,231702,1,4956534,231702,True,chromosome
7,228586,1,4956534,228586,True,chromosome
8,226337,1,4956534,226337,True,chromosome
9,220936,1,4956534,220936,True,chromosome
10,171093,1,4956534,171093,True,chromosome
11,155641,1,4956534,155641,True,chromosome
12,144996,1,4956534,144996,True,chromosome
13,138483,1,4956534,138483,True,chromosome
14,138396,1,4956534,138396,True,chromosome
15,122553,1,4956534,122553,True,chromosome
16,94284,1,4956534,94284,True,chromosome
17,87043,1,4956534,87043,True,chromosome
18,86578,1,4956534,86578,True,chromosome
19,84624,1,4956534,84624,True,chromosome
20,77663,1,4956534,77663,True,chromosome
21,73759,1,4956534,73759,True,chromosome
22,69609,1,4956534,69609,True,chromosome
23,63009,1,4956534,63009,True,chromosome
24,62936,1,4956534,62936,True,chromosome
25,60118,1,4956534,60118,True,chromosome
26,54730,1,4956534,54730,True,chromosome
27,52511,1,4956534,51057,True,chromosome
28,49114,1,4956534,49114,True,chromosome
29,45524,1,4956534,45524,True,chromosome
30,31893,1,4956534,31893,True,chromosome
31,31255,1,4956534,31255,True,chromosome
32,27214,2,178788,27214,True,plasmid
33,27133,2,178788,27133,True,plasmid
34,26140,1,4956534,26140,True,chromosome
35,24766,1,4956534,24766,True,chromosome
36,17599,2,178788,17599,True,plasmid
37,14132,1,4956534,14132,True,chromosome
38,13560,1,4956534,13560,True,chromosome
39,12696,2,178788,12696,True,plasmid
40,11320,1,4956534,11320,True,chromosome
41,11037,2,178788,6935,True,plasmid
42,10438,2,178788,10438,True,plasmid
43,10414,1,4956534,10414,True,chromosome
44,8905,2,178788,8905,True,plasmid
45,8075,2,178788,8075,True,plasmid
46,7707,2,178788,7707,True,plasmid
47,7672,2,178788,7672,True,plasmid
48,6503,1,4956534,6503,True,chromosome
49,4899,3,4899,4899,True,plasmid
50,4892,1,4956534,4892,True,chromosome
52,4201,1,4956534,4201,True,chromosome
53,3841,2,178788,3841,True,plasmid
54,3551,2,178788,3551,True,plasmid
55,3448,1,4956534,3448,True,chromosome
57,2987,NA,NA,2987,NA,ambiguous
58,2834,2,178788,2834,True,plasmid
59,1986,2,178788,1986,True,plasmid
60,1759,1,4956534,1759,True,chromosome
61,1684,2,178788,1684,True,plasmid
62,1597,1,4956534,1597,True,chromosome
63,1565,1,4956534,1565,True,chromosome
64,1556,NA,NA,1556,NA,ambiguous
65,1495,NA,NA,1495,NA,ambiguous
66,1471,2,178788,1471,True,plasmid
68,1362,1,4956534,1362,True,chromosome
69,1330,NA,NA,1330,NA,ambiguous
70,1317,1,4956534,1317,True,chromosome
71,1225,1,4956534,1225,True,chromosome
72,1223,1,4956534,1223,True,chromosome
73,1197,NA,NA,1197,NA,ambiguous
74,976,2,178788,976,True,plasmid
75,929,1,4956534,929,True,chromosome
76,928,1,4956534,928,True,chromosome
77,613,2,178788,613,True,plasmid
78,551,NA,NA,551,NA,ambiguous
79,413,1,4956534,413,True,chromosome
80,378,2,178788,378,True,plasmid
81,333,1,4956534,333,True,chromosome
82,317,NA,NA,317,NA,ambiguous
83,308,2,178788,308,True,plasmid
84,298,2,178788,298,True,plasmid
85,275,NA,NA,275,NA,ambiguous
86,275,1,4956534,275,True,chromosome
87,257,2,178788,257,True,plasmid
88,245,NA,NA,245,NA,ambiguous
89,223,NA,NA,223,NA,ambiguous
91,185,2,178788,185,True,plasmid
92,185,1,4956534,185,True,chromosome
93,182,NA,NA,182,NA,ambiguous
94,159,NA,NA,159,NA,ambiguous
95,151,NA,NA,151,NA,ambiguous
96,144,1,4956534,144,True,chromosome
97,132,1,4956534,132,True,chromosome
98,132,1,4956534,132,True,chromosome
99,131,1,4956534,131,True,chromosome
100,130,1,4956534,130,True,chromosome
102,120,1,4956534,120,True,chromosome
103,115,1,4956534,115,True,chromosome
105,108,1,4956534,108,True,chromosome
106,105,1,4956534,105,True,chromosome
107,104,1,4956534,104,True,chromosome
108,104,1,4956534,104,True,chromosome
109,103,2,178788,103,True,plasmid
