short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,401127,1,5053858,401127,False,chromosome
2,395653,1,5053858,395653,False,chromosome
3,373047,1,5053858,373047,False,chromosome
4,322690,1,5053858,322690,False,chromosome
5,278831,1,5053858,278831,False,chromosome
6,261469,1,5053858,261469,False,chromosome
7,221635,1,5053858,221635,False,chromosome
8,214104,1,5053858,214104,False,chromosome
9,205461,1,5053858,205461,False,chromosome
10,183045,1,5053858,183045,False,chromosome
11,169507,1,5053858,169507,False,chromosome
12,147029,1,5053858,147029,False,chromosome
13,146319,1,5053858,146319,False,chromosome
14,140903,1,5053858,140903,False,chromosome
15,124478,1,5053858,124478,False,chromosome
16,123339,1,5053858,123339,False,chromosome
17,112670,1,5053858,112670,False,chromosome
18,112049,1,5053858,112049,False,chromosome
19,105150,1,5053858,105150,False,chromosome
20,98901,1,5053858,98901,False,chromosome
21,96617,1,5053858,96616,False,chromosome
22,95744,1,5053858,95744,False,chromosome
23,88160,1,5053858,88160,False,chromosome
24,86953,1,5053858,86953,False,chromosome
25,78627,3,78627,78627,False,no_label
26,67837,2,81741,67837,True,plasmid
27,64294,1,5053858,64294,False,chromosome
28,62155,1,5053858,62155,False,chromosome
29,54042,1,5053858,54042,False,chromosome
30,43812,1,5053858,43812,False,chromosome
31,43343,1,5053858,43343,False,chromosome
32,42367,1,5053858,42367,False,chromosome
33,37049,1,5053858,37049,False,chromosome
34,34124,1,5053858,34124,False,chromosome
35,16016,1,5053858,16016,False,chromosome
36,12520,1,5053858,12520,False,chromosome
37,8983,1,5053858,8983,False,chromosome
38,8178,1,5053858,8178,False,chromosome
39,8081,1,5053858,8081,False,chromosome
40,7669,2,81741,7669,True,plasmid
41,6736,1,5053858,6736,False,chromosome
42,4749,1,5053858,4749,False,chromosome
43,3831,2,81741,3831,True,plasmid
44,3387,4,3387,3387,False,no_label
45,2392,1,5053858,2392,False,chromosome
46,1726,1,5053858,1726,False,chromosome
47,1635,1,5053858,1635,False,chromosome
48,1614,1,5053858,1614,False,chromosome
49,1323,1,5053858,1323,False,chromosome
50,1295,1,5053858,1295,False,chromosome
51,1256,1,5053858,1256,False,chromosome
52,1177,1,5053858,1177,False,chromosome
53,1159,1,5053858,1159,False,chromosome
54,1148,NA,NA,1148,NA,ambiguous
55,1117,1,5053858,1117,False,chromosome
56,1116,5,1116,1116,False,no_label
57,1095,1,5053858,1095,False,chromosome
58,1083,1,5053858,1083,False,chromosome
59,1002,1,5053858,1002,False,chromosome
60,866,1,5053858,866,False,chromosome
61,860,1,5053858,860,False,chromosome
62,733,1,5053858,733,False,chromosome
63,581,1,5053858,581,False,chromosome
64,555,NA,NA,555,NA,ambiguous
65,553,1,5053858,553,False,chromosome
66,549,1,5053858,549,False,chromosome
67,549,1,5053858,549,False,chromosome
68,542,1,5053858,542,False,chromosome
69,522,1,5053858,522,False,chromosome
70,477,1,5053858,477,False,chromosome
71,466,1,5053858,466,False,chromosome
72,412,1,5053858,412,False,chromosome
73,382,1,5053858,382,False,chromosome
74,346,1,5053858,346,False,chromosome
75,341,7,341,341,False,no_label
76,300,1,5053858,300,False,chromosome
77,296,1,5053858,296,False,chromosome
78,287,1,5053858,287,False,chromosome
79,280,1,5053858,280,False,chromosome
80,280,1,5053858,280,False,chromosome
81,277,1,5053858,277,False,chromosome
82,275,1,5053858,275,False,chromosome
83,251,1,5053858,251,False,chromosome
84,249,1,5053858,249,False,chromosome
85,232,1,5053858,232,False,chromosome
86,231,1,5053858,231,False,chromosome
87,229,1,5053858,229,False,chromosome
88,228,1,5053858,228,False,chromosome
89,218,1,5053858,218,False,chromosome
90,203,1,5053858,203,False,chromosome
91,202,1,5053858,202,False,chromosome
92,194,1,5053858,194,False,chromosome
93,187,1,5053858,187,False,chromosome
94,184,6,603,184,False,no_label
95,183,1,5053858,183,False,chromosome
96,174,1,5053858,174,False,chromosome
97,167,1,5053858,167,False,chromosome
98,163,1,5053858,163,False,chromosome
99,163,1,5053858,163,False,chromosome
100,159,1,5053858,159,False,chromosome
101,158,1,5053858,158,False,chromosome
102,157,1,5053858,157,False,chromosome
103,157,1,5053858,157,False,chromosome
104,156,1,5053858,156,False,chromosome
105,154,6,603,154,False,no_label
106,152,1,5053858,152,False,chromosome
107,149,1,5053858,149,False,chromosome
108,144,1,5053858,144,False,chromosome
109,143,1,5053858,143,False,chromosome
110,142,1,5053858,142,False,chromosome
111,141,1,5053858,141,False,chromosome
112,140,1,5053858,140,False,chromosome
113,139,1,5053858,139,False,chromosome
114,136,1,5053858,136,False,chromosome
115,134,1,5053858,134,False,chromosome
116,133,1,5053858,133,False,chromosome
117,130,1,5053858,130,False,chromosome
118,128,1,5053858,128,False,chromosome
119,128,1,5053858,128,False,chromosome
120,128,1,5053858,128,False,chromosome
121,120,1,5053858,120,False,chromosome
122,119,1,5053858,119,False,chromosome
123,119,6,603,119,False,no_label
124,108,1,5053858,108,False,chromosome
125,104,1,5053858,104,False,chromosome
