short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,367531,1,2928271,367531,False,chromosome
2,359463,1,2928271,359463,False,chromosome
3,355070,1,2928271,355070,False,chromosome
4,230562,1,2928271,230562,False,chromosome
5,207878,1,2928271,207878,False,chromosome
6,201297,3,386223,201297,False,no_label
7,166420,1,2928271,166420,False,chromosome
8,156773,1,2928271,156773,False,chromosome
9,155849,1,2928271,155849,False,chromosome
10,150054,2,848306,150054,False,no_label
11,149996,1,2928271,149996,False,chromosome
12,129402,1,2928271,129402,False,chromosome
13,124979,2,848306,124979,False,no_label
14,122481,2,848306,122481,False,no_label
15,109359,2,848306,109359,False,no_label
16,109105,1,2928271,109105,False,chromosome
17,106602,4,255652,106602,False,no_label
18,99912,6,88230,88230,False,no_label
19,92123,2,848306,92123,False,no_label
20,73757,5,104879,73427,True,plasmid
21,73507,3,386223,73507,False,no_label
22,73428,1,2928271,73428,False,chromosome
23,71190,1,2928271,71190,False,chromosome
24,68532,1,2928271,68532,False,chromosome
25,56862,3,386223,56862,False,no_label
26,55411,8,55411,55411,False,no_label
27,52580,4,255652,52580,False,no_label
28,48459,7,66636,42612,True,plasmid
29,47214,2,848306,47214,False,no_label
30,44847,1,2928271,44847,False,chromosome
31,43669,1,2928271,43669,False,chromosome
32,43045,9,43045,43045,False,no_label
33,41169,2,848306,41169,False,no_label
34,40055,2,848306,40055,False,no_label
35,37981,1,2928271,37981,False,chromosome
36,37731,1,2928271,37731,False,chromosome
37,34566,4,255652,34566,False,no_label
38,33538,1,2928271,33538,False,chromosome
39,33510,10,33510,33510,False,no_label
40,29792,2,848306,29792,False,no_label
41,25703,3,386223,25703,False,no_label
42,24520,1,2928271,24520,False,chromosome
43,24223,1,2928271,24223,False,chromosome
44,23279,4,255652,23279,False,no_label
45,23054,4,255652,23054,False,no_label
46,16652,2,848306,16652,False,no_label
47,16035,2,848306,16035,False,no_label
48,15462,1,2928271,15462,False,chromosome
49,14692,3,386223,14692,False,no_label
50,14415,11,14415,14415,False,no_label
51,12874,1,2928271,12874,False,chromosome
52,11698,7,66636,11698,True,plasmid
53,10808,2,848306,10808,False,no_label
54,9296,5,104879,9296,True,plasmid
55,9159,12,9159,9159,False,no_label
56,8093,5,104879,8093,True,plasmid
57,5963,1,2928271,5963,False,chromosome
58,4892,13,4892,4892,False,no_label
59,4149,2,848306,4149,False,no_label
60,4124,1,2928271,4124,False,chromosome
61,3665,5,104879,3665,True,plasmid
62,3492,5,104879,3492,True,plasmid
63,3129,7,66636,3129,True,plasmid
64,3045,3,386223,3045,False,no_label
65,2524,2,848306,2524,False,no_label
66,1973,3,386223,1973,False,no_label
67,1886,3,386223,1886,False,no_label
68,1797,2,848306,1797,False,no_label
69,1706,5,104879,1706,True,plasmid
70,1598,1,2928271,1598,False,chromosome
71,1463,2,848306,1463,False,no_label
72,1332,NA,NA,1332,NA,ambiguous
73,1058,2,848306,1058,False,no_label
74,1057,1,2928271,1057,False,chromosome
75,908,1,2928271,908,False,chromosome
76,848,3,386223,848,False,no_label
77,739,NA,NA,739,NA,ambiguous
78,727,2,848306,727,False,no_label
79,706,2,848306,706,False,no_label
80,682,1,2928271,682,False,chromosome
81,675,1,2928271,675,False,chromosome
82,617,2,848306,617,False,no_label
83,609,2,848306,609,False,no_label
84,593,17,593,593,False,no_label
85,583,1,2928271,583,False,chromosome
86,565,1,2928271,565,False,chromosome
87,559,2,848306,559,False,no_label
88,470,2,848306,470,False,no_label
89,469,1,2928271,469,False,chromosome
90,469,2,848306,469,False,no_label
91,457,1,2928271,457,False,chromosome
93,431,5,104879,431,True,plasmid
94,397,1,2928271,397,False,chromosome
95,396,2,848306,396,False,no_label
96,389,5,104879,389,True,plasmid
97,372,3,386223,372,False,no_label
98,368,1,2928271,368,False,chromosome
99,327,1,2928271,327,False,chromosome
100,323,1,2928271,323,False,chromosome
101,318,1,2928271,318,False,chromosome
102,311,2,848306,311,False,no_label
103,304,1,2928271,304,False,chromosome
104,303,2,848306,303,False,no_label
105,293,NA,NA,293,NA,ambiguous
106,281,2,848306,281,False,no_label
107,253,1,2928271,253,False,chromosome
108,236,21,236,236,False,no_label
109,235,2,848306,235,False,no_label
110,221,2,848306,221,False,no_label
111,220,1,2928271,220,False,chromosome
112,220,2,848306,220,False,no_label
113,217,NA,NA,217,NA,ambiguous
114,212,2,848306,212,False,no_label
115,212,3,386223,212,False,no_label
116,202,22,202,202,False,no_label
117,190,3,386223,190,False,no_label
118,188,3,386223,188,False,no_label
119,181,25,181,181,False,no_label
120,177,2,848306,177,False,no_label
121,172,20,245,172,False,no_label
122,167,1,2928271,167,False,chromosome
123,164,2,848306,164,False,no_label
124,164,1,2928271,164,False,chromosome
125,159,1,2928271,159,False,chromosome
126,155,3,386223,155,False,no_label
127,153,1,2928271,153,False,chromosome
128,151,2,848306,151,False,no_label
129,150,3,386223,150,False,no_label
130,148,2,848306,148,False,no_label
131,148,2,848306,148,False,no_label
133,143,2,848306,143,False,no_label
134,142,1,2928271,142,False,chromosome
135,138,1,2928271,138,False,chromosome
136,136,2,848306,136,False,no_label
137,133,2,848306,133,False,no_label
138,131,2,848306,131,False,no_label
139,129,2,848306,129,False,no_label
140,128,3,386223,128,False,no_label
141,125,3,386223,125,False,no_label
142,124,2,848306,124,False,no_label
143,123,1,2928271,123,False,chromosome
144,123,2,848306,123,False,no_label
145,114,2,848306,114,False,no_label
146,113,2,848306,113,False,no_label
147,106,2,848306,106,False,no_label
